,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,L/P,Ordem L/P,Ordem ROE,Score,PapelF
36,CIEL3,5.64,7.13,1.26,2.386,0.0642,0.142,2.46,12.15,5.38,7.76,5.54,0.19640000000000002,0.3346,1.07,0.1563,0.17670000000000002,149726000.0,12164500000.0,0.34,-0.0735,0.1402524544179523,45,54,99,CIEL
37,TECN3,4.77,5.55,0.83,0.943,0.0321,0.513,1.0,5.52,1.93,5.15,6.14,0.17079999999999998,0.17,4.94,0.1222,0.1489,1042710.0,396632000.0,0.23,0.071,0.1801801801801802,23,78,101,TECN
38,ODPV3,11.54,12.3,4.29,2.963,0.0922,2.737,-110.11,10.84,-33.06,9.93,9.13,0.2733,0.24100000000000002,0.92,0.33340000000000003,0.3492,16459500.0,1484650000.0,0.0,0.046900000000000004,0.08130081300813008,98,5,103,ODPV
39,ITUB3,28.1,8.0,1.55,0.0,0.08349999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1941,10843400.0,177342000000.0,0.0,0.39299999999999996,0.125,59,45,104,ITUB
40,SHUL4,5.98,8.14,1.62,1.13,0.050199999999999995,0.884,2.1,9.51,4.25,8.74,6.76,0.1189,0.1388,2.74,0.1518,0.1989,2844420.0,1319420000.0,0.47,0.1916,0.12285012285012284,64,40,104,SHUL
41,TTEN3,10.05,7.97,1.46,0.507,0.011699999999999999,0.673,2.97,10.36,5.92,11.04,9.67,0.0489,0.0635,1.53,0.1197,0.18289999999999998,10944000.0,3435220000.0,0.41,0.2999,0.12547051442910917,58,50,108,TTEN
42,ABCB4,20.93,5.79,0.83,0.0,0.0712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1441,14561400.0,6138130000.0,0.0,0.5527000000000001,0.17271157167530224,27,81,108,ABCB
43,TRPL4,26.47,6.38,0.97,2.633,0.0833,0.459,3.81,5.1,-1.38,7.33,7.27,0.5166,0.4217,3.08,0.09789999999999999,0.1518,91702000.0,18016200000.0,0.58,0.1852,0.15673981191222572,34,75,109,TRPL
44,CXSE3,14.2,11.76,3.17,0.0,0.0751,2.866,41.67,-355.46,41.83,-344.91,-344.94,0.0,0.0,1.71,-0.0088,0.2698,53863400.0,13429400000.0,0.0,0.0,0.08503401360544217,93,17,110,CXSE
45,GOAU4,10.34,4.96,0.6,0.161,0.1384,0.138,0.55,1.35,2.04,1.95,1.4,0.1198,0.0967,2.82,0.12210000000000001,0.1216,99445000.0,17694200000.0,0.62,0.1655,0.20161290322580647,14,97,111,GOAU
46,GGBR3,16.02,5.33,0.65,0.51,0.0666,0.439,1.77,4.25,6.9,4.89,3.5,0.12,0.0962,2.79,0.1225,0.12210000000000001,1323530.0,51919400000.0,0.21,0.1655,0.18761726078799248,19,94,113,GGBR
47,MDNE3,10.65,5.4,0.65,0.749,0.0,0.257,1.05,4.23,-1.5,4.73,4.55,0.1772,0.1387,2.28,0.0679,0.121,5381230.0,1384340000.0,0.26,0.365,0.18518518518518517,20,98,118,MDNE
48,VVEO3,2.03,2.01,0.2,0.058,0.0673,0.059,0.17,1.27,-0.69,6.15,4.02,0.045899999999999996,0.028999999999999998,2.32,0.0668,0.0992,7434050.0,3286280000.0,1.3,0.3018,0.49751243781094534,0,119,119,VVEO
49,UGPA3,21.59,9.23,1.74,0.191,0.0301,0.658,3.6,4.5,-4.25,6.44,5.3,0.0425,0.021400000000000002,1.68,0.18989999999999999,0.1887,107007000.0,13828200000.0,1.04,0.128,0.10834236186348863,74,46,120,UGPA
50,DIRR3,25.26,10.36,2.08,1.776,0.018600000000000002,0.556,1.85,9.7,-1.95,10.2,8.95,0.1832,0.196,3.39,0.0688,0.201,47213500.0,2105010000.0,0.67,0.15710000000000002,0.09652509652509653,82,38,120,DIRR
51,MILS3,10.48,9.17,1.69,1.82,0.0292,0.836,3.49,5.2,-7.55,6.13,4.21,0.35009999999999997,0.19879999999999998,2.55,0.22820000000000001,0.18469999999999998,16268000.0,1511550000.0,0.78,0.3342,0.10905125408942203,73,48,121,MILS
52,LJQQ3,3.82,7.77,1.2,0.307,0.0424,0.228,0.89,13.2,-1.31,16.24,5.03,0.0233,0.039599999999999996,1.67,0.0217,0.15460000000000002,18216500.0,620719000.0,0.85,0.114,0.1287001287001287,53,70,123,LJQQ
53,TUPY3,22.02,6.67,0.91,0.284,0.0305,0.296,0.93,3.52,-4.94,6.14,4.37,0.0808,0.0425,2.07,0.1209,0.1371,15118600.0,3471280000.0,1.22,0.275,0.14992503748125938,37,87,124,TUPY
54,ALLD3,7.18,4.3,0.42,0.114,0.2826,0.194,0.61,3.8,1.48,4.93,3.66,0.029900000000000003,0.0264,1.89,0.0843,0.0987,832030.0,1582950000.0,0.38,0.0345,0.23255813953488372,7,120,127,ALLD
55,ROMI3,10.1,6.45,0.8,0.8,0.0713,0.416,1.22,10.65,3.08,15.53,9.54,0.0751,0.1246,2.25,0.0471,0.124,2279200.0,1177370000.0,0.62,0.1235,0.15503875968992248,36,92,128,ROMI
56,BPAC11,32.48,11.79,2.4,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20329999999999998,321310000.0,51962100000.0,0.0,0.5165,0.08481764206955048,94,35,129,BPAC
57,INTB3,22.65,13.1,2.79,1.807,0.0277,1.449,3.25,14.76,5.39,13.94,11.96,0.12240000000000001,0.1382,2.49,0.18789999999999998,0.2132,24287200.0,2656410000.0,0.36,0.21309999999999998,0.07633587786259542,104,27,131,INTB
58,FRAS3,17.7,12.08,2.43,1.409,0.0342,1.148,3.15,8.64,12.96,8.38,6.77,0.1631,0.1201,2.48,0.21600000000000003,0.201,4323260.0,1968450000.0,0.56,0.2554,0.08278145695364239,95,37,132,FRAS
59,TFCO4,10.3,14.22,3.78,2.336,0.018600000000000002,2.363,4.86,11.07,6.67,11.21,10.37,0.21100000000000002,0.1643,3.0,0.2702,0.2661,2058710.0,434794000.0,0.24,0.3542,0.07032348804500703,114,18,132,TFCO
60,EVEN3,6.29,5.56,0.64,0.42,0.16,0.169,0.31,3.98,0.98,5.15,4.99,0.10550000000000001,0.1202,3.55,0.050499999999999996,0.1142,5210580.0,1980140000.0,0.72,0.13019999999999998,0.1798561151079137,25,109,134,EVEN
61,JHSF3,3.85,5.22,0.53,1.707,0.0825,0.218,1.25,4.61,-0.9,9.26,8.49,0.37060000000000004,0.3613,2.33,0.0535,0.10099999999999999,16957700.0,4959010000.0,0.81,0.2075,0.19157088122605365,17,118,135,JHSF
62,ENGI11,44.99,8.6,1.35,0.687,0.0337,0.29,4.99,2.93,-0.63,6.22,5.04,0.2348,0.10710000000000001,1.28,0.1184,0.1572,140213000.0,15247500000.0,2.12,0.1107,0.11627906976744186,67,69,136,ENGI
63,STBP3,13.06,18.62,5.09,4.796,0.0508,2.309,-160.5,12.04,-6.11,12.14,9.77,0.39840000000000003,0.2576,0.92,0.2175,0.2733,62000800.0,2218490000.0,0.24,0.272,0.05370569280343716,123,13,136,STBP
64,CYRE3,18.98,7.26,0.95,1.16,0.049,0.434,1.15,7.65,7.62,10.03,9.48,0.1516,0.18789999999999998,3.14,0.0675,0.131,108234000.0,7985750000.0,0.61,0.1442,0.13774104683195593,47,90,137,CYRE
65,GRND3,5.92,9.14,1.46,2.177,0.054400000000000004,1.255,2.31,13.48,2.32,10.69,8.77,0.16149999999999998,0.2382,5.09,0.1356,0.1592,6808460.0,3669650000.0,0.05,0.061200000000000004,0.10940919037199125,72,65,137,GRND
66,WEGE3,41.08,29.97,9.91,5.25,0.0168,5.391,17.6,23.31,23.08,22.79,20.97,0.22519999999999998,0.18030000000000002,1.84,0.31989999999999996,0.33049999999999996,264462000.0,17407300000.0,0.15,0.2433,0.033366700033366704,131,7,138,WEGE
67,FIQE3,3.33,7.71,1.06,1.3,0.0851,0.611,7.78,5.45,-3.67,5.36,2.64,0.23850000000000002,0.1686,1.44,0.13720000000000002,0.1377,1001600.0,1134990000.0,0.26,0.3328,0.1297016861219196,52,86,138,FIQE
68,SMFT3,21.9,12.26,2.44,2.839,0.0207,0.871,12.69,13.31,-2.07,15.11,6.69,0.2133,0.2332,1.45,0.0799,0.19870000000000002,50019400.0,5269760000.0,0.77,0.20129999999999998,0.08156606851549755,97,41,138,SMFT
69,TAEE11,33.6,10.34,1.64,3.404,0.1107,0.59,16.81,6.04,-1.26,10.57,10.48,0.5636,0.3293,1.26,0.10400000000000001,0.15869999999999998,88541700.0,7056880000.0,1.38,0.0529,0.09671179883945842,81,66,147,TAEE
70,NTCO3,15.11,7.79,0.95,0.821,0.049,0.503,4.29,10.92,-4.79,11.09,6.55,0.07519999999999999,0.10550000000000001,1.47,0.063,0.1219,110491000.0,22070700000.0,0.28,-0.12689999999999999,0.12836970474967907,54,96,150,NTCO
71,GGPS3,17.24,17.65,3.68,1.041,0.0184,1.105,3.88,11.31,-6.35,12.23,9.65,0.092,0.059500000000000004,2.19,0.12269999999999999,0.20829999999999999,37061700.0,3165810000.0,0.92,0.2455,0.056657223796034,121,30,151,GGPS
72,BLAU3,9.64,7.27,0.86,1.173,0.0338,0.547,1.44,8.16,3.64,8.9,7.37,0.1437,0.1598,3.82,0.08449999999999999,0.11779999999999999,2555230.0,2019480000.0,0.3,0.08410000000000001,0.13755158184319122,48,104,152,BLAU
73,VIVA3,20.45,13.18,2.45,2.156,0.0182,1.505,3.64,11.28,6.33,10.95,8.24,0.1912,0.1636,2.96,0.1586,0.18600000000000003,68709100.0,1969940000.0,0.11,0.2747,0.07587253414264036,105,47,152,VIVA
74,B3SA3,10.39,14.44,2.9,5.805,0.053099999999999994,1.194,6.47,11.12,-5.79,10.57,8.7,0.5219,0.4022,1.93,0.1668,0.2009,521593000.0,19875000000.0,0.71,0.0742,0.06925207756232687,115,39,154,B3SA
75,RECV3,18.25,8.64,1.15,1.886,0.10980000000000001,0.778,97.41,7.89,-5.23,8.16,4.18,0.239,0.2181,1.05,0.11349999999999999,0.1332,52914900.0,4651430000.0,0.19,0.37670000000000003,0.11574074074074073,68,89,157,RECV
76,ABEV3,11.28,12.26,2.05,2.236,0.0647,1.328,-750.57,10.53,-15.11,9.93,7.29,0.21239999999999998,0.188,0.99,0.16899999999999998,0.1675,364098000.0,86594300000.0,0.04,0.11599999999999999,0.08156606851549755,96,62,158,ABEV
77,KLBN11,20.59,13.01,2.25,1.444,0.0512,0.448,2.21,6.93,-1.01,12.81,6.59,0.20850000000000002,0.1161,2.79,0.0863,0.1729,95360100.0,11310500000.0,2.96,0.1649,0.07686395080707148,103,60,163,KLBN
78,MELK3,3.56,6.44,0.59,0.65,0.1368,0.3,0.57,7.27,0.86,5.68,5.43,0.0894,0.14800000000000002,2.94,0.051500000000000004,0.09230000000000001,1436600.0,1236660000.0,0.23,0.24100000000000002,0.15527950310559005,35,128,163,MELK
79,VITT3,5.82,10.52,1.49,1.235,0.047400000000000005,0.981,3.24,11.18,3.59,13.72,10.95,0.1104,0.1173,1.97,0.09300000000000001,0.14150000000000001,3126370.0,605093000.0,0.37,0.0748,0.09505703422053233,85,82,167,VITT
80,HYPE3,29.05,10.81,1.57,2.288,0.048499999999999995,0.728,4.76,7.32,-3.77,10.27,9.32,0.3126,0.2114,1.81,0.1157,0.14529999999999998,110833000.0,11711400000.0,0.9,0.23309999999999997,0.09250693802035152,88,80,168,HYPE
81,TRIS3,4.65,6.86,0.63,0.784,0.0425,0.308,0.64,8.69,1.16,15.47,14.75,0.0902,0.1177,2.7,0.0407,0.0919,2256240.0,1377560000.0,0.72,0.0613,0.14577259475218657,40,129,169,TRIS
82,CAML3,8.27,8.03,0.94,0.257,0.0353,0.273,0.85,4.87,-2.45,9.85,6.83,0.0528,0.032,2.16,0.0864,0.1167,6979770.0,3087100000.0,1.86,0.19510000000000002,0.12453300124533002,61,108,169,CAML
